date,store,store_no,section,item,qty,weight_kg,unit_price,line_total,receipt_total,is_promo_item,is_on_special,prefix_char,activity_id,receipt_source,category
2026-06-14,3855 Caulfield North,3855,This Month,Bulla Creamy Classics Choc Chip 2L,1,,,7.00,7.00,True,False,#,4146677943,INSTORE,
2026-06-14,3568 Caulfield North,3568,This Month,Carlton Draught Lager Btl 6X375ml,1,,,23.00,18.00,True,False,#,4146661059,INSTORE,
2026-06-14,3568 Caulfield North,3568,This Month,*CARLTON DRAUG OFFER,1,,,-5.00,18.00,False,False,,4146661059,INSTORE,
2026-06-09,3855 Caulfield North,3855,This Month,WW Vegetable Oil 750ml,1,,,4.00,4.00,False,False,,4125163330,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,Pepsi Soft Drink 1.25L,1,,,1.87,41.24,True,True,^,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,WW FFG Dairy Free Choc Cheesecake 675g,1,,,6.75,41.24,True,False,#,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,PRICE REDUCED BY $6.75 each,1,,,,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,Grape Red Seedless 500g,1,,,2.36,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,PRICE REDUCED BY $3.54 each,1,,,,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,WW Chocolate Creme Wafers 125g,1,,,0.80,41.24,True,False,#,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,WW Diced Italian Tomatoes 400g,2,,1.10,2.20,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,Cheezels Original Cheese Party Pack 190g,1,,,4.00,41.24,True,False,#,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,WW Chicken Schnitzels 600g,1,,,6.21,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,PRICE REDUCED BY $2.79 each,1,,,,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,Oreo Choco SS 140g,2,,1.60,3.20,41.24,True,True,^,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,Oreo Caramilk DS 136g,1,,,1.60,41.24,True,True,^,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,Oreo Original DS 136g,1,,,1.60,41.24,True,True,^,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,WW RSPCA Chicken Breast Fillets Small,1,,,9.15,41.24,False,False,,4118658021,INSTORE,
2026-06-07,3855 Caulfield North,3855,This Month,Cadbury Breakaway Chocolate Bar 44g,1,,,1.50,41.24,True,True,^,4118658021,INSTORE,
2026-06-05,3855 Caulfield North,3855,This Month,Banana Cavendish,1,0.937,4.90,4.59,40.11,False,False,,4111477260,INSTORE,
2026-06-05,3855 Caulfield North,3855,This Month,Pepsi Max Cola Drink 1.25L,1,,,1.87,40.11,True,True,^,4111477260,INSTORE,
2026-06-05,3855 Caulfield North,3855,This Month,Ingham's Chk Tenders Swt Chli 400g,1,,,5.50,40.11,False,False,,4111477260,INSTORE,
2026-06-05,3855 Caulfield North,3855,This Month,MEarth Chwy Muesli Bar Choc Chp 180g 6Pk,1,,,2.70,40.11,True,False,#,4111477260,INSTORE,
2026-06-05,3855 Caulfield North,3855,This Month,Burger Rings Snacks 90g,1,,,1.35,40.11,True,True,^,4111477260,INSTORE,
2026-06-05,3855 Caulfield North,3855,This Month,Potato White Washed 2Kg,1,,,8.00,40.11,False,False,,4111477260,INSTORE,
2026-06-05,3855 Caulfield North,3855,This Month,Onion Brown 1kg P/P,1,,,2.50,40.11,False,False,,4111477260,INSTORE,
2026-06-05,3855 Caulfield North,3855,This Month,Hillview Cheese Slices Light500g,1,,,0.90,40.11,False,True,^,4111477260,INSTORE,
2026-06-05,3855 Caulfield North,3855,This Month,WW Natural Greek Style Yoghurt 2kg,1,,,8.40,40.11,False,False,,4111477260,INSTORE,
2026-06-05,3855 Caulfield North,3855,This Month,WW Multigrain Soft Sandwich 650g,1,,,2.80,40.11,False,False,,4111477260,INSTORE,
2026-06-05,3855 Caulfield North,3855,This Month,Cadbury Caramilk Bar 45g,1,,,1.50,40.11,True,True,^,4111477260,INSTORE,
2026-06-02,3115 Balaclava,3115,This Month,WW Light Thickened Cream 300ml,1,,,3.40,9.10,False,False,,4099908262,INSTORE,
2026-06-02,3115 Balaclava,3115,This Month,Onion Brown 1kg P/P,1,,,3.60,9.10,False,False,,4099908262,INSTORE,
2026-06-02,3115 Balaclava,3115,This Month,Coca Cola Drink Classic 1.25L,1,,,2.10,9.10,True,True,^,4099908262,INSTORE,
2026-06-01,3133 Chadstone,3133,This Month,Lettuce Cos Hearts 2 Pack,1,,,2.50,4.00,False,False,,4096303072,INSTORE,
2026-06-01,3133 Chadstone,3133,This Month,Mars Bar 47g,1,,,1.50,4.00,True,True,^,4096303072,INSTORE,
2026-05-31,3568 Caulfield North,3568,Last Month,Vodka & 500ml,1,,,38.00,38.00,True,True,^,4092448627,INSTORE,
2026-05-31,3855 Caulfield North,3855,Last Month,RRD Chef Srs Chrg Spcd Chkn Chips 150g,1,,,3.00,5.20,True,True,^,4092047570,INSTORE,
2026-05-31,3855 Caulfield North,3855,Last Month,WW Corn Chips Supreme Cheese 175g,1,,,2.20,5.20,True,False,#,4092047570,INSTORE,
2026-05-31,3568 Caulfield North,3568,Last Month,Jagermeister Liqueur700ml,1,,,55.00,55.00,True,True,^,4092032821,INSTORE,
2026-05-30,3855 Caulfield North,3855,Last Month,Monster Energy Drink Zero Ultra 4x500ml,1,,,8.25,35.89,True,True,^,4088073116,INSTORE,
2026-05-30,3855 Caulfield North,3855,Last Month,Coca Cola Soft Drink Diet 1.25L,1,,,2.10,35.89,True,True,^,4088073116,INSTORE,
2026-05-30,3855 Caulfield North,3855,Last Month,Mandarins Kids 5 Pack,1,,,4.05,35.89,False,False,,4088073116,INSTORE,
2026-05-30,3855 Caulfield North,3855,Last Month,Cadbury Dairy Milk Marble Block 173g,1,,,4.80,35.89,True,True,^,4088073116,INSTORE,
2026-05-30,3855 Caulfield North,3855,Last Month,Grape Black Seedless 500g,1,,,2.65,35.89,False,False,,4088073116,INSTORE,
2026-05-30,3855 Caulfield North,3855,Last Month,PRICE REDUCED BY $3.25 each,1,,,,35.89,False,False,,4088073116,INSTORE,
2026-05-30,3855 Caulfield North,3855,Last Month,WW RSPCA Chicken Breast Fillets Bulk,1,,,14.04,35.89,False,False,,4088073116,INSTORE,
2026-05-30,3855 Caulfield North,3855,Last Month,V Energy Drink Original Guarana 250ml,1,,,2.65,2.65,True,False,#,4085106851,INSTORE,
2026-05-29,3855 Caulfield North,3855,Last Month,MEarth Chwy Muesli Bar Choc Chp 180g 6Pk,1,,,2.70,20.40,True,False,#,4084311606,INSTORE,
2026-05-29,3855 Caulfield North,3855,Last Month,Peters Dstck Minis Choc/Cara 6pk 480ml,1,,,5.90,20.40,True,True,^,4084311606,INSTORE,
2026-05-29,3855 Caulfield North,3855,Last Month,Monster Energy Drink Zero Ultra 4x500ml,1,,,8.25,20.40,True,True,^,4084311606,INSTORE,
2026-05-29,3855 Caulfield North,3855,Last Month,WW Full Cream Milk 2L,1,,,3.55,20.40,False,False,,4084311606,INSTORE,
2026-05-27,3568 Caulfield North,3568,Last Month,Vasto Cerveza Bttle 6x330ml,1,,,12.00,12.00,True,True,^,4076549737,INSTORE,
2026-05-23,3855 Caulfield North,3855,Last Month,Cadbury Boost 50g,1,,,1.00,11.20,True,True,^,4060971932,INSTORE,
2026-05-23,3855 Caulfield North,3855,Last Month,Pepsi Soft Drink 1.25L,1,,,2.25,11.20,True,True,^,4060971932,INSTORE,
2026-05-23,3855 Caulfield North,3855,Last Month,Cadbury Caramilk Bar 45g,1,,,1.00,11.20,True,True,^,4060971932,INSTORE,
2026-05-23,3855 Caulfield North,3855,Last Month,Woolworths Whole Milk 2L,1,,,3.55,11.20,False,False,,4060971932,INSTORE,
2026-05-23,3855 Caulfield North,3855,Last Month,Herb Fresh Coriander Bunch,1,,,3.40,11.20,False,False,,4060971932,INSTORE,
2026-05-19,3855 Caulfield North,3855,Last Month,H2 Coco Pure Coconut Water 1L,1,,,2.95,53.67,False,True,^,4045230479,INSTORE,
2026-05-19,3855 Caulfield North,3855,Last Month,MEarth Chwy Muesli Bar Choc Chp 180g 6Pk,2,,2.70,5.40,53.67,True,False,#,4045230479,INSTORE,
2026-05-19,3855 Caulfield North,3855,Last Month,Potato White Washed 2Kg,1,,,8.00,53.67,False,False,,4045230479,INSTORE,
2026-05-19,3855 Caulfield North,3855,Last Month,Mission Mini W/grain Wraps 384g,2,,5.00,10.00,53.67,False,False,,4045230479,INSTORE,
2026-05-19,3855 Caulfield North,3855,Last Month,WW RSPCA Chicken Thigh Fillets Bulk,1,,,18.82,53.67,False,False,,4045230479,INSTORE,
2026-05-19,3855 Caulfield North,3855,Last Month,Lyndale Cage Eggs XL 12pk 700g,1,,,5.50,53.67,False,False,,4045230479,INSTORE,
2026-05-19,3855 Caulfield North,3855,Last Month,Cadbury Dairy Milk 100g,1,,,3.00,53.67,True,False,#,4045230479,INSTORE,
2026-05-18,3855 Caulfield North,3855,Last Month,Peters Dstck Minis Choc/Cara 6pk 480ml,1,,,4.95,7.75,True,True,^,4042084589,INSTORE,
2026-05-18,3855 Caulfield North,3855,Last Month,WW Multigrain Soft Sandwich 650g,1,,,2.80,7.75,False,False,,4042084589,INSTORE,
2026-05-05,3855 Caulfield North,3855,Last Month,Lyndale Cage Eggs Jumbo 12pk 800g,1,,,6.00,8.50,False,False,,3985471868,INSTORE,
2026-05-05,3855 Caulfield North,3855,Last Month,Onion Brown 1kg P/P,1,,,2.50,8.50,False,False,,3985471868,INSTORE,
2026-05-05,3855 Caulfield North,3855,Last Month,Nescafe Coffee Original 400g,1,,,26.00,26.00,False,False,,3985459593,INSTORE,
2026-05-03,3855 Caulfield North,3855,Last Month,Banana Cavendish,1,0.792,4.00,3.17,5.67,False,False,,3980653474,INSTORE,
2026-05-03,3855 Caulfield North,3855,Last Month,Onion Brown 1kg P/P,1,,,2.50,5.67,False,False,,3980653474,INSTORE,
2026-05-01,3855 Caulfield North,3855,Last Month,WW Diced Italian Tomatoes 400g,3,,1.10,3.30,6.85,False,False,,3970145689,INSTORE,
2026-05-01,3855 Caulfield North,3855,Last Month,Woolworths Whole Milk 2L,1,,,3.55,6.85,False,False,,3970145689,INSTORE,
2026-04-28,3855 Caulfield North,3855,April 2026,WW Cashews Sea Salt 200g,1,,,4.35,46.35,True,False,#,3959738305,INSTORE,
2026-04-28,3855 Caulfield North,3855,April 2026,WW Traditional Mayonnaise 470g,1,,,3.70,46.35,False,False,,3959738305,INSTORE,
2026-04-28,3855 Caulfield North,3855,April 2026,WW Dressing Caesar 300ml,1,,,1.80,46.35,False,False,,3959738305,INSTORE,
2026-04-28,3855 Caulfield North,3855,April 2026,Cadbury Dairy Milk Roll 55g,1,,,1.25,46.35,True,True,^,3959738305,INSTORE,
2026-04-28,3855 Caulfield North,3855,April 2026,Greens Glamingtons Funfetti Fingers 6Pk,1,,,1.75,46.35,True,False,#,3959738305,INSTORE,
2026-04-28,3855 Caulfield North,3855,April 2026,PRICE REDUCED BY $3.25 each,1,,,,46.35,False,False,,3959738305,INSTORE,
2026-04-28,3855 Caulfield North,3855,April 2026,WW RSPCA Chicken Breast Fillets Bulk,1,,,16.85,46.35,False,False,,3959738305,INSTORE,
2026-04-28,3855 Caulfield North,3855,April 2026,Pepsi Max Cola Drink 1.25L,1,,,2.25,46.35,True,True,^,3959738305,INSTORE,
2026-04-28,3855 Caulfield North,3855,April 2026,Nandos Perinaise Hot 465g,1,,,7.50,46.35,False,False,,3959738305,INSTORE,
2026-04-28,3855 Caulfield North,3855,April 2026,Hoyts Chillies Dry 25g,1,,,2.00,46.35,False,True,^,3959738305,INSTORE,
2026-04-28,3855 Caulfield North,3855,April 2026,Farmers Union Greek Style Protein 500g,1,,,4.90,46.35,False,False,,3959738305,INSTORE,
2026-04-26,3855 Caulfield North,3855,April 2026,De-Gas Capsules Peppermint 24pk,1,,,9.50,33.20,True,False,#,3952055883,INSTORE,
2026-04-26,3855 Caulfield North,3855,April 2026,Powerade Flo Cap Mountn Blast 600ml,1,,,2.25,33.20,True,True,^,3952055883,INSTORE,
2026-04-26,3855 Caulfield North,3855,April 2026,Red Bull Energy Drink 4x250ml,1,,,9.10,33.20,True,True,^,3952055883,INSTORE,
2026-04-26,3855 Caulfield North,3855,April 2026,Woolworths Lotus Biscoff Cheesecake 2 pa,1,,,8.00,33.20,True,False,#,3952055883,INSTORE,
2026-04-26,3855 Caulfield North,3855,April 2026,Powerade Flo Cap Blackcurrant 600ml,1,,,2.25,33.20,True,True,^,3952055883,INSTORE,
2026-04-26,3855 Caulfield North,3855,April 2026,GB Value Garlic Bread 450g 2Pk,1,,,2.10,33.20,False,False,,3952055883,INSTORE,
2026-04-21,3855 Caulfield North,3855,April 2026,Coca Cola Drink Classic 1.25L,2,,2.10,4.20,11.85,True,True,^,3933542804,INSTORE,
2026-04-21,3855 Caulfield North,3855,April 2026,Cadbury Marv Creations Crunchie 190g,1,,,6.40,11.85,True,True,^,3933542804,INSTORE,
2026-04-21,3855 Caulfield North,3855,April 2026,Mentos Mint Roll 37.5g,1,,,1.25,11.85,True,True,^,3933542804,INSTORE,
2026-04-20,3855 Caulfield North,3855,April 2026,Coca Cola Soft Drink Diet 1.25L,1,,,2.10,39.45,True,True,^,3927463128,INSTORE,
2026-04-20,3855 Caulfield North,3855,April 2026,Woolworths Whole Milk 3L,1,,,4.65,39.45,False,False,,3927463128,INSTORE,
2026-04-20,3855 Caulfield North,3855,April 2026,Armada Scented Tidy Sml Lav/lem 40pk,1,,,2.50,39.45,True,False,#,3927463128,INSTORE,
2026-04-20,3855 Caulfield North,3855,April 2026,WW Sponge Scourer Heavy Duty 6Pk,1,,,2.80,39.45,True,False,#,3927463128,INSTORE,
