date,store,store_no,section,item,qty,weight_kg,unit_price,line_total,receipt_total,is_promo_item,is_on_special,prefix_char,activity_id,receipt_source,category
2026-04-20,3855 Caulfield North,3855,April 2026,Balnea Foaming Handwash Berry 250ml,1,,,2.50,39.45,True,False,#,3927463128,INSTORE,
2026-04-20,3855 Caulfield North,3855,April 2026,WW Chicken Breast Crumbed Nuggets 400g,1,,,4.40,39.45,False,False,,3927463128,INSTORE,
2026-04-20,3855 Caulfield North,3855,April 2026,WW Peeled Tomatoes Italian 400g,2,,1.10,2.20,39.45,False,False,,3927463128,INSTORE,
2026-04-20,3855 Caulfield North,3855,April 2026,WW Freeze Dried Coffee Classic 100g,1,,,5.00,39.45,False,False,,3927463128,INSTORE,
2026-04-20,3855 Caulfield North,3855,April 2026,Twinings Peppermint Tea Bags 40pk,1,,,7.00,39.45,False,True,^,3927463128,INSTORE,
2026-04-20,3855 Caulfield North,3855,April 2026,Essentials Domestic Wipes 10pk,1,,,1.05,39.45,True,False,#,3927463128,INSTORE,
2026-04-20,3855 Caulfield North,3855,April 2026,Glad Wrap 60m X 33cm,1,,,5.25,39.45,True,False,#,3927463128,INSTORE,
2026-04-18,3855 Caulfield North,3855,April 2026,Woolworths Whole Milk 2L,1,,,3.20,22.75,False,False,,3919987663,INSTORE,
2026-04-18,3855 Caulfield North,3855,April 2026,Mint Bamboo Skewers 25cm 200pk,1,,,4.00,22.75,True,False,#,3919987663,INSTORE,
2026-04-18,3855 Caulfield North,3855,April 2026,Onion Brown 1kg P/P,1,,,2.50,22.75,False,False,,3919987663,INSTORE,
2026-04-18,3855 Caulfield North,3855,April 2026,Coca Cola Soft Drink Diet 1.25L,1,,,2.10,22.75,True,True,^,3919987663,INSTORE,
2026-04-18,3855 Caulfield North,3855,April 2026,WW Coat & Cook Southern Fried 50g,1,,,1.80,22.75,False,False,,3919987663,INSTORE,
2026-04-18,3855 Caulfield North,3855,April 2026,WW Vegetable Oil 750ml,1,,,4.00,22.75,False,False,,3919987663,INSTORE,
2026-04-18,3855 Caulfield North,3855,April 2026,GNL Air Freshener Mand Lem Myrtl 200ml,1,,,5.15,22.75,True,True,^,3919987663,INSTORE,
2026-04-17,3855 Caulfield North,3855,April 2026,Banana Cavendish,1,0.982,2.90,2.85,24.95,False,False,,3917011873,INSTORE,
2026-04-17,3855 Caulfield North,3855,April 2026,Indomie Mi Goreng Hot & Spicy 80g x 5pk,1,,,3.95,24.95,False,False,,3917011873,INSTORE,
2026-04-17,3855 Caulfield North,3855,April 2026,Essentials Long Grain White Rice 1kg,1,,,1.80,24.95,False,False,,3917011873,INSTORE,
2026-04-17,3855 Caulfield North,3855,April 2026,MEarth Chwy Muesli Bar Choc Chp 180g 6Pk,3,,2.70,8.10,24.95,True,False,#,3917011873,INSTORE,
2026-04-17,3855 Caulfield North,3855,April 2026,Potato White Washed 2Kg,1,,,8.25,24.95,False,False,,3917011873,INSTORE,
2026-04-13,3855 Caulfield North,3855,April 2026,Banana Cavendish,1,0.362,3.90,1.41,8.86,False,False,,3901077254,INSTORE,
2026-04-13,3855 Caulfield North,3855,April 2026,Woolworths Whole Milk 3L,1,,,4.65,8.86,False,False,,3901077254,INSTORE,
2026-04-13,3855 Caulfield North,3855,April 2026,WW White Sandwich Soft 650g,1,,,2.80,8.86,False,False,,3901077254,INSTORE,
2026-04-09,3855 Caulfield North,3855,April 2026,Eggplant Kg,1,0.617,10.20,6.29,40.09,False,False,,3884061076,INSTORE,
2026-04-09,3855 Caulfield North,3855,April 2026,WW Natural Greek Style Yoghurt 2kg,1,,,8.00,40.09,False,False,,3884061076,INSTORE,
2026-04-09,3855 Caulfield North,3855,April 2026,Earth Choice D/Wash Liq Lemon Fresh 1L,1,,,2.55,40.09,True,False,#,3884061076,INSTORE,
2026-04-09,3855 Caulfield North,3855,April 2026,Soften Fabric Softener Elegant Nght 1L,1,,,3.70,40.09,True,False,#,3884061076,INSTORE,
2026-04-09,3855 Caulfield North,3855,April 2026,Onion Red 1kg P/P,1,,,3.00,40.09,False,False,,3884061076,INSTORE,
2026-04-09,3855 Caulfield North,3855,April 2026,WW Broccoli & Cauliflower 500g,1,,,4.00,40.09,False,False,,3884061076,INSTORE,
2026-04-09,3855 Caulfield North,3855,April 2026,Nut Peanut Rst/Salt 750g,1,,,6.20,40.09,True,False,#,3884061076,INSTORE,
2026-04-09,3855 Caulfield North,3855,April 2026,WW Aus Sultanas 6 x 40g,1,,,2.50,40.09,False,False,,3884061076,INSTORE,
2026-04-09,3855 Caulfield North,3855,April 2026,Potato Spudlite Baby750g PP,1,,,3.85,40.09,False,False,,3884061076,INSTORE,
2026-04-07,3855 Caulfield North,3855,April 2026,Smiths Crackers Crispy Chicken 160g,1,,,2.00,34.62,True,True,^,3877193117,INSTORE,
2026-04-07,3855 Caulfield North,3855,April 2026,WW Free From Gluten Choc HCB 4pk,1,,,3.52,34.62,False,False,,3877193117,INSTORE,
2026-04-07,3855 Caulfield North,3855,April 2026,PRICE REDUCED BY $1.98 each,1,,,,34.62,False,False,,3877193117,INSTORE,
2026-04-07,3855 Caulfield North,3855,April 2026,Woolworths Whole Milk 2L,1,,,3.20,34.62,False,False,,3877193117,INSTORE,
2026-04-07,3855 Caulfield North,3855,April 2026,KitKat Chunky Gooey Caramel 48g,1,,,1.50,34.62,True,True,^,3877193117,INSTORE,
2026-04-07,3855 Caulfield North,3855,April 2026,WW Crinkle Cut Original 175g,1,,,2.20,34.62,True,False,#,3877193117,INSTORE,
2026-04-07,3855 Caulfield North,3855,April 2026,Cheetos Puffs 80g,1,,,2.85,34.62,True,False,#,3877193117,INSTORE,
2026-04-07,3855 Caulfield North,3855,April 2026,Pepsi Max Cola Drink 1.25L,1,,,3.90,34.62,True,False,#,3877193117,INSTORE,
2026-04-07,3855 Caulfield North,3855,April 2026,WW Cashews Sea Salt 200g,1,,,4.35,34.62,True,False,#,3877193117,INSTORE,
2026-04-07,3855 Caulfield North,3855,April 2026,MEarth Chwy Muesli Bar Choc Chp 180g 6Pk,3,,2.70,8.10,34.62,True,False,#,3877193117,INSTORE,
2026-04-07,3855 Caulfield North,3855,April 2026,Cadbury Dairy Milk 100g,1,,,3.00,34.62,True,False,#,3877193117,INSTORE,
2026-04-06,3855 Caulfield North,3855,April 2026,Woolworths Whole Milk 2L,1,,,3.20,9.20,False,False,,3873172981,INSTORE,
2026-04-06,3855 Caulfield North,3855,April 2026,Clean Laundry Liquid Tropical Bloom 2L,1,,,6.00,9.20,True,False,#,3873172981,INSTORE,
2026-04-06,3568 Caulfield North,3568,April 2026,Smirnoff Red Vodka 1L,1,,,62.00,62.00,True,True,^,3873163636,INSTORE,
2026-04-02,3855 Caulfield North,3855,April 2026,WW Frozen Blueberries 500g,1,,,6.50,9.90,False,False,,3858272787,INSTORE,
2026-04-02,3855 Caulfield North,3855,April 2026,WW Thickened Cream 300ml,1,,,3.40,9.90,False,False,,3858272787,INSTORE,
2026-04-02,3855 Caulfield North,3855,April 2026,Woolworths Whole Milk 3L,1,,,4.65,33.10,False,False,,3857371865,INSTORE,
2026-04-02,3855 Caulfield North,3855,April 2026,Farmers Union Greek Style Protein 500g,2,,4.90,9.80,33.10,False,False,,3857371865,INSTORE,
2026-04-02,3855 Caulfield North,3855,April 2026,Woolworths Paper Bag,1,,,0.25,33.10,True,False,#,3857371865,INSTORE,
2026-04-02,3855 Caulfield North,3855,April 2026,Hoyts Chilli Powder 50g,1,,,2.00,33.10,False,False,,3857371865,INSTORE,
2026-04-02,3855 Caulfield North,3855,April 2026,Western Star Chefs Chce Cult Btr Uns500g,1,,,8.90,33.10,False,False,,3857371865,INSTORE,
2026-04-02,3855 Caulfield North,3855,April 2026,Bega Cheese Slices Strong & Bitey 250g,1,,,7.50,33.10,False,False,,3857371865,INSTORE,
2026-04-01,3855 Caulfield North,3855,April 2026,Banana Cavendish,1,0.677,3.90,2.64,6.64,False,False,,3852309914,INSTORE,
2026-04-01,3855 Caulfield North,3855,April 2026,Essentials Facial Tisss White 2ply 224pk,1,,,1.90,6.64,True,False,#,3852309914,INSTORE,
2026-04-01,3855 Caulfield North,3855,April 2026,Coca Cola Zero Sugar Soft Drink 1.25L,1,,,2.10,6.64,True,True,^,3852309914,INSTORE,
2026-03-29,3855 Caulfield North,3855,March 2026,Woolworths Paper Bag,1,,,0.25,26.00,True,False,#,3839392015,INSTORE,
2026-03-29,3855 Caulfield North,3855,March 2026,WW Chicken Breast Tenders S Chilli 400g,1,,,4.40,26.00,False,False,,3839392015,INSTORE,
2026-03-29,3855 Caulfield North,3855,March 2026,Edge Mens Disposable Razors 3 Blade 8pk,1,,,4.80,26.00,True,False,#,3839392015,INSTORE,
2026-03-29,3855 Caulfield North,3855,March 2026,WW Diced Italian Tomatoes 400g,4,,1.10,4.40,26.00,False,False,,3839392015,INSTORE,
2026-03-29,3855 Caulfield North,3855,March 2026,MEarth Chwy Muesli Bar Choc Chp 180g 6Pk,2,,2.70,5.40,26.00,True,False,#,3839392015,INSTORE,
2026-03-29,3855 Caulfield North,3855,March 2026,Woolworths Whole Milk 3L,1,,,4.65,26.00,False,False,,3839392015,INSTORE,
2026-03-29,3855 Caulfield North,3855,March 2026,Mfoods Sauce Tomato 500ml,1,,,2.10,26.00,False,True,^,3839392015,INSTORE,
2026-03-28,3855 Caulfield North,3855,March 2026,Woolworths Paper Bag,1,,,0.25,34.09,True,False,#,3836077522,INSTORE,
2026-03-28,3855 Caulfield North,3855,March 2026,Potato White Washed 2Kg,1,,,8.25,34.09,False,False,,3836077522,INSTORE,
2026-03-28,3855 Caulfield North,3855,March 2026,Herb Curry Leaf Punnet 5g,1,,,2.28,34.09,False,False,,3836077522,INSTORE,
2026-03-28,3855 Caulfield North,3855,March 2026,PRICE REDUCED BY $1.12 each,1,,,,34.09,False,False,,3836077522,INSTORE,
2026-03-28,3855 Caulfield North,3855,March 2026,Herb Fresh Coriander Bunch,1,,,3.40,34.09,False,False,,3836077522,INSTORE,
2026-03-28,3855 Caulfield North,3855,March 2026,WW Sweet Chilli Sauce 280ml,1,,,2.00,34.09,False,False,,3836077522,INSTORE,
2026-03-28,3855 Caulfield North,3855,March 2026,WW RSPCA Chicken Breast Fillets Bulk,1,,,14.41,34.09,False,False,,3836077522,INSTORE,
2026-03-28,3855 Caulfield North,3855,March 2026,Ajax Spray n' Wipe MP Lemon Citrus 500ml,1,,,3.50,34.09,True,False,#,3836077522,INSTORE,
2026-03-28,3855 Caulfield North,3855,March 2026,Banana Cavendish,1,0.597,4.50,2.69,2.69,False,False,,3836070704,INSTORE,
2026-03-26,3855 Caulfield North,3855,March 2026,Leggo's Tomato Puree 410g,1,,,2.50,16.25,False,False,,3828988465,INSTORE,
2026-03-26,3855 Caulfield North,3855,March 2026,Trident Sauce Sweet Chilli 285ml,1,,,3.25,16.25,False,True,^,3828988465,INSTORE,
2026-03-26,3855 Caulfield North,3855,March 2026,Coca Cola Zero Sugar 300ml 12Pk,1,,,10.50,16.25,True,True,^,3828988465,INSTORE,
2026-03-25,3855 Caulfield North,3855,March 2026,Banana Cavendish,1,0.627,4.90,3.07,15.07,False,False,,3825269022,INSTORE,
2026-03-25,3855 Caulfield North,3855,March 2026,Armada Reusable Bowls 6pk,1,,,6.00,15.07,True,False,#,3825269022,INSTORE,
2026-03-25,3855 Caulfield North,3855,March 2026,Berry Blueberry 125g P/P,1,,,6.00,15.07,False,False,,3825269022,INSTORE,
2026-03-20,3855 Caulfield North,3855,March 2026,Pine O Cleen Disinf Wipes Lem Lime 110pk,1,,,6.00,10.65,True,True,^,3807784049,INSTORE,
2026-03-20,3855 Caulfield North,3855,March 2026,Woolworths Whole Milk 3L,1,,,4.65,10.65,False,False,,3807784049,INSTORE,
2026-03-17,3568 Caulfield North,3568,March 2026,Sapporo Premium Lager Btl 6X355ml,1,,,22.50,34.50,True,True,^,3797235137,INSTORE,
2026-03-17,3568 Caulfield North,3568,March 2026,Wine Coupon L,1,,,0.01,34.50,True,False,#,3797235137,INSTORE,
2026-03-17,3568 Caulfield North,3568,March 2026,Coopers Australian Lager Can 6x375mL,1,,,25.50,34.50,True,False,#,3797235137,INSTORE,
2026-03-17,3568 Caulfield North,3568,March 2026,BWS GIFT OFFR,1,,,-13.51,34.50,False,False,,3797235137,INSTORE,
2026-03-15,3325 South Yarra,3325,March 2026,Schweppes Min Water Orange Mango 1.1L,1,,,3.00,5.70,True,False,#,3789795421,INSTORE,
2026-03-15,3325 South Yarra,3325,March 2026,MEarth Chwy Muesli Bar Choc Chp 180g 6Pk,1,,,2.70,5.70,True,False,#,3789795421,INSTORE,
2026-03-12,3855 Caulfield North,3855,March 2026,WW Brown Rice Med Grain 1kg,1,,,2.50,26.20,False,False,,3781379996,INSTORE,
2026-03-12,3855 Caulfield North,3855,March 2026,Berry Blueberry 125g P/P,1,,,5.50,26.20,False,False,,3781379996,INSTORE,
2026-03-12,3855 Caulfield North,3855,March 2026,Chobani Greek Yoghurt Natural Light 907g,1,,,8.30,26.20,False,False,,3781379996,INSTORE,
2026-03-12,3855 Caulfield North,3855,March 2026,Monster Energy Drink Zero Ultra 4x500ml,1,,,8.25,26.20,True,True,^,3781379996,INSTORE,
2026-03-12,3855 Caulfield North,3855,March 2026,WW Full Cream Milk 1L,1,,,1.65,26.20,False,False,,3781379996,INSTORE,
2026-03-12,3855 Caulfield North,3855,March 2026,Banana Cavendish,1,0.632,4.90,3.10,12.60,False,False,,3781363513,INSTORE,
2026-03-12,3855 Caulfield North,3855,March 2026,WW Winter Veg Mix 1kg,1,,,5.20,12.60,False,False,,3781363513,INSTORE,
2026-03-12,3855 Caulfield North,3855,March 2026,McCain Superfries Shoestring 900g,1,,,4.30,12.60,False,False,,3781363513,INSTORE,
2026-03-07,3855 Caulfield North,3855,March 2026,Indomie Hot & Spicy Noodles 400g 5pk,2,,3.95,7.90,11.55,False,False,,3764382889,INSTORE,
2026-03-07,3855 Caulfield North,3855,March 2026,Pepsi Soft Drink 1.25L,1,,,3.65,11.55,True,False,#,3764382889,INSTORE,
2026-03-04,3115 Balaclava,3115,March 2026,WW Vegetable Oil 750ml,1,,,4.00,9.60,False,False,,3754413494,INSTORE,
2026-03-04,3115 Balaclava,3115,March 2026,WW Bakery Wholemeal Sandwich Soft 650g,1,,,2.90,9.60,False,False,,3754413494,INSTORE,
2026-03-04,3115 Balaclava,3115,March 2026,MEarth Chwy Muesli Bar Choc Chp 180g 6Pk,1,,,2.70,9.60,True,False,#,3754413494,INSTORE,
